ID                                          County     State    # of Tracts    Population
Forrest_MS                                 Forrest        MS             17         74934
Franklin_MS                               Franklin        MS              2          8118
George_MS                                   George        MS              5         22578
Greene_MS                                   Greene        MS              2         14400
Grenada_MS                                 Grenada        MS              5         21906
Hancock_MS                                 Hancock        MS              7         43929
Harrison_MS                               Harrison        MS             46        187105
Hinds_MS                                     Hinds        MS             64        245285
Holmes_MS                                   Holmes        MS              5         19198
Humphreys_MS                             Humphreys        MS              3          9375
Issaquena_MS                             Issaquena        MS              1          1406
Itawamba_MS                               Itawamba        MS              5         23401
Jackson_MS                                 Jackson        MS             28        139668
Jasper_MS                                   Jasper        MS              4         17062
Jefferson_MS                             Jefferson        MS              2          7726
Jefferson Davis_MS                 Jefferson Davis        MS              3         12487
Jones_MS                                     Jones        MS             14         67761
Kemper_MS                                   Kemper        MS              2         10456
Lafayette_MS                             Lafayette        MS             10         47351
Lamar_MS                                     Lamar        MS              8         55658
Lauderdale_MS                           Lauderdale        MS             19         80261
Lawrence_MS                               Lawrence        MS              3         12929
Leake_MS                                     Leake        MS              5         23805
Lee_MS                                         Lee        MS             19         82910
Leflore_MS                                 Leflore        MS              8         32317
Lincoln_MS                                 Lincoln        MS              6         34869
Lowndes_MS                                 Lowndes        MS             14         59779
Madison_MS                                 Madison        MS             21         95203
Marion_MS                                   Marion        MS              6         27088
Marshall_MS                               Marshall        MS              6         37144
Monroe_MS                                   Monroe        MS              9         36989
Montgomery_MS                           Montgomery        MS              3         10925
Neshoba_MS                                 Neshoba        MS              7         29676
Newton_MS                                   Newton        MS              5         21720
Noxubee_MS                                 Noxubee        MS              3         11545
Oktibbeha_MS                             Oktibbeha        MS              8         47671
Panola_MS                                   Panola        MS              6         34707
Pearl River_MS                         Pearl River        MS              9         55834
Perry_MS                                     Perry        MS              3         12250
Pike_MS                                       Pike        MS              8         40404
Pontotoc_MS                               Pontotoc        MS              6         29957
Prentiss_MS                               Prentiss        MS              5         25276
Quitman_MS                                 Quitman        MS              3          8223
Rankin_MS                                   Rankin        MS             27        141617
Scott_MS                                     Scott        MS              6         28264
Sharkey_MS                                 Sharkey        MS              2          4916
Simpson_MS                                 Simpson        MS              5         27503
Smith_MS                                     Smith        MS              3         16491
Stone_MS                                     Stone        MS              3         17786
Sunflower_MS                             Sunflower        MS              7         29450
Tallahatchie_MS                       Tallahatchie        MS              4         15378
Tate_MS                                       Tate        MS              5         28886
Tippah_MS                                   Tippah        MS              4         22232
Tishomingo_MS                           Tishomingo        MS              4         19593
Tunica_MS                                   Tunica        MS              3         10778
Union_MS                                     Union        MS              6         27134
Walthall_MS                               Walthall        MS              3         15443
Warren_MS                                   Warren        MS             12         48773
Washington_MS                           Washington        MS             19         51137
Wayne_MS                                     Wayne        MS              4         20747
Webster_MS                                 Webster        MS              3         10253
Wilkinson_MS                             Wilkinson        MS              2          9878
Winston_MS                                 Winston        MS              5         19198
Yalobusha_MS                             Yalobusha        MS              3         12678
Yazoo_MS                                     Yazoo        MS              6         28065
Adair_MO                                     Adair        MO              7         25607
Andrew_MO                                   Andrew        MO              4         17291
Atchison_MO                               Atchison        MO              2          5685
Audrain_MO                                 Audrain        MO              7         25529
Barry_MO                                     Barry        MO              7         35597
Barton_MO                                   Barton        MO              3         12402
Bates_MO                                     Bates        MO              4         17049
Benton_MO                                   Benton        MO              6         19056
Bollinger_MO                             Bollinger        MO              3         12363
Boone_MO                                     Boone        MO             29        162642
Buchanan_MO                               Buchanan        MO             25         89201
Butler_MO                                   Butler        MO             10         42794
Caldwell_MO                               Caldwell        MO              2          9424
Callaway_MO                               Callaway        MO              8         44332
Camden_MO                                   Camden        MO             11         44002
Cape Girardeau_MO                   Cape Girardeau        MO             16         75674
Carroll_MO                                 Carroll        MO              3          9295
Carter_MO                                   Carter        MO              2          6265
Cass_MO                                       Cass        MO             20         99478
Cedar_MO                                     Cedar        MO              3         13982
Chariton_MO                               Chariton        MO              3          7831
Christian_MO                             Christian        MO             14         77422
Clark_MO                                     Clark        MO              3          7139
Clay_MO                                       Clay        MO             44        221939
Clinton_MO                                 Clinton        MO              4         20743
Cole_MO                                       Cole        MO             15         75990
Cooper_MO                                   Cooper        MO              5         17601
Crawford_MO                               Crawford        MO              6         24696
Dade_MO                                       Dade        MO              2          7883
Dallas_MO                                   Dallas        MO              3         16777
Daviess_MO                                 Daviess        MO              2          8433
DeKalb_MO                                   DeKalb        MO              2         12892
Dent_MO                                       Dent        MO              4         15657
Douglas_MO                                 Douglas        MO              3         13684
Dunklin_MO                                 Dunklin        MO             10         31953
Franklin_MO                               Franklin        MO             17        101492
Gasconade_MO                             Gasconade        MO              5         15222
Gentry_MO                                   Gentry        MO              2          6738
Greene_MO                                   Greene        MO             62        275174
Grundy_MO                                   Grundy        MO              4         10261
Harrison_MO                               Harrison        MO              3          8957
Henry_MO                                     Henry        MO              6         22272
Hickory_MO                                 Hickory        MO              3          9627
Holt_MO                                       Holt        MO              3          4912
Howard_MO                                   Howard        MO              3         10144
Howell_MO                                   Howell        MO              8         40400
Iron_MO                                       Iron        MO              4         10630
Jackson_MO                                 Jackson        MO            199        674158
Jasper_MO                                   Jasper        MO             22        117404
Jefferson_MO                             Jefferson        MO             42        218733
Johnson_MO                                 Johnson        MO              9         52595
Knox_MO                                       Knox        MO              2          4131
Laclede_MO                                 Laclede        MO              6         35571
Lafayette_MO                             Lafayette        MO              7         33381
Lawrence_MO                               Lawrence        MO              7         38634
Lewis_MO                                     Lewis        MO              4         10211
Lincoln_MO                                 Lincoln        MO              7         52566
Linn_MO                                       Linn        MO              5         12761
Livingston_MO                           Livingston        MO              5         15195
McDonald_MO                               McDonald        MO              4         23083
Macon_MO                                     Macon        MO              5         15566
Madison_MO                                 Madison        MO              3         12226
Maries_MO                                   Maries        MO              3          9176
Marion_MO                                   Marion        MO              8         28781
Mercer_MO                                   Mercer        MO              2          3785
Miller_MO                                   Miller        MO              5         24748
Mississippi_MO                         Mississippi        MO              4         14358
Moniteau_MO                               Moniteau        MO              4         15607
Monroe_MO                                   Monroe        MO              3          8840
Montgomery_MO                           Montgomery        MO              4         12236
Morgan_MO                                   Morgan        MO              5         20565
New Madrid_MO                           New Madrid        MO              6         18956
Newton_MO                                   Newton        MO             12         58114
Nodaway_MO                                 Nodaway        MO              5         23370
Oregon_MO                                   Oregon        MO              3         10881
Osage_MO                                     Osage        MO              4         13878
Ozark_MO                                     Ozark        MO              2          9723
Pemiscot_MO                               Pemiscot        MO              6         18296
Perry_MO                                     Perry        MO              5         18971
Pettis_MO                                   Pettis        MO             11         42201
Phelps_MO                                   Phelps        MO             10         45156
Pike_MO                                       Pike        MO              5         18516
Platte_MO                                   Platte        MO             20         89322
Polk_MO                                       Polk        MO              4         31137
Pulaski_MO                                 Pulaski        MO              9         52274
Putnam_MO                                   Putnam        MO              2          4979
Ralls_MO                                     Ralls        MO              3         10167
Randolph_MO                               Randolph        MO              6         25414
Ray_MO                                         Ray        MO              4         23494
Reynolds_MO                               Reynolds        MO              2          6696
Ripley_MO                                   Ripley        MO              4         14100
St. Charles_MO                         St. Charles        MO             79        360485
St. Clair_MO                             St. Clair        MO              3          9805
Ste. Genevieve_MO                   Ste. Genevieve        MO              4         18145
St. Francois_MO                       St. Francois        MO             11         65359
St. Louis_MO                             St. Louis        MO            199        998954
Saline_MO                                   Saline        MO              8         23370
Schuyler_MO                               Schuyler        MO              2          4431
Scotland_MO                               Scotland        MO              2          4843
Scott_MO                                     Scott        MO             10         39191
Shannon_MO                                 Shannon        MO              2          8441
Shelby_MO                                   Shelby        MO              3          6373
Stoddard_MO                               Stoddard        MO              8         29968
Stone_MO                                     Stone        MO              6         32202
Sullivan_MO                               Sullivan        MO              3          6714
Taney_MO                                     Taney        MO             10         51675
Texas_MO                                     Texas        MO              4         26008
Vernon_MO                                   Vernon        MO              6         21159
Warren_MO                                   Warren        MO              5         32513
Washington_MO                           Washington        MO              5         25195
Wayne_MO                                     Wayne        MO              4         13521
Webster_MO                                 Webster        MO              8         36202
Worth_MO                                     Worth        MO              1          2171
Wright_MO                                   Wright        MO              4         18815
St. Louis City_MO                   St. Louis City        MO            106        319294
Beaverhead_MT                           Beaverhead        MT              3          9246
Big Horn_MT                               Big Horn        MT              5         12865
Blaine_MT                                   Blaine        MT              4          6491
Broadwater_MT                           Broadwater        MT              2          5612
Carbon_MT                                   Carbon        MT              5         10078
Carter_MT                                   Carter        MT              1          1160
Cascade_MT                                 Cascade        MT             22         81327
Chouteau_MT                               Chouteau        MT              2          5813
Custer_MT                                   Custer        MT              6         11699
Daniels_MT                                 Daniels        MT              1          1751
Dawson_MT                                   Dawson        MT              3          8966
Deer Lodge_MT                           Deer Lodge        MT              3          9298
Fallon_MT                                   Fallon        MT              1          2890
Fergus_MT                                   Fergus        MT              2         11586
Flathead_MT                               Flathead        MT             19         90928
Gallatin_MT                               Gallatin        MT             22         89513
Garfield_MT                               Garfield        MT              1          1206
Glacier_MT                                 Glacier        MT              4         13399
Golden Valley_MT                     Golden Valley        MT              1           884
Granite_MT                                 Granite        MT              1          3079
Hill_MT                                       Hill        MT              6         16096
Jefferson_MT                             Jefferson        MT              3         11406
Judith Basin_MT                       Judith Basin        MT              1          2072
Lake_MT                                       Lake        MT              8         28746
Lewis and Clark_MT                 Lewis and Clark        MT             14         63395
Liberty_MT                                 Liberty        MT              1          2339
Lincoln_MT                                 Lincoln        MT              5         19687
McCone_MT                                   McCone        MT              1          1734
Madison_MT                                 Madison        MT              3          7691
Meagher_MT                                 Meagher        MT              1          1891
Mineral_MT                                 Mineral        MT              2          4223
Missoula_MT                               Missoula        MT             20        109299
Musselshell_MT                         Musselshell        MT              2          4538
Park_MT                                       Park        MT              6         15636
Petroleum_MT                             Petroleum        MT              1           494
Phillips_MT                               Phillips        MT              1          4253
Pondera_MT                                 Pondera        MT              2          6153
Powder River_MT                       Powder River        MT              1          1743
Powell_MT                                   Powell        MT              2          7027
Prairie_MT                                 Prairie        MT              1          1179
Ravalli_MT                                 Ravalli        MT             10         40212
Richland_MT                               Richland        MT              4          9746
Roosevelt_MT                             Roosevelt        MT              3         10425
Rosebud_MT                                 Rosebud        MT              4          9233
Sanders_MT                                 Sanders        MT              3         11413
Sheridan_MT                               Sheridan        MT              2          3384
Silver Bow_MT                           Silver Bow        MT              8         34200
Stillwater_MT                           Stillwater        MT              3          9117
Sweet Grass_MT                         Sweet Grass        MT              1          3651
Teton_MT                                     Teton        MT              3          6073
Toole_MT                                     Toole        MT              3          5324
Treasure_MT                               Treasure        MT              1           718
Valley_MT                                   Valley        MT              3          7369
Wheatland_MT                             Wheatland        MT              1          2168
Wibaux_MT                                   Wibaux        MT              1          1017
Yellowstone_MT                         Yellowstone        MT             32        147972
Adams_NE                                     Adams        NE              9         31364
Antelope_NE                               Antelope        NE              3          6685
Arthur_NE                                   Arthur        NE              1           460
Banner_NE                                   Banner        NE              1           690
Blaine_NE                                   Blaine        NE              1           478
Boone_NE                                     Boone        NE              2          5505
Box Butte_NE                             Box Butte        NE              3         11308
Boyd_NE                                       Boyd        NE              1          2099
Brown_NE                                     Brown        NE              1          3145
Buffalo_NE                                 Buffalo        NE             11         46102
Burt_NE                                       Burt        NE              3          6858
Butler_NE                                   Butler        NE              3          8395
Cass_NE                                       Cass        NE              6         25241
Cedar_NE                                     Cedar        NE              2          8852
Chase_NE                                     Chase        NE              1          3966
Cherry_NE                                   Cherry        NE              2          5713
Cheyenne_NE                               Cheyenne        NE              3          9998
Clay_NE                                       Clay        NE              2          6542
Colfax_NE                                   Colfax        NE              3         10515
Cuming_NE                                   Cuming        NE              3          9139
Custer_NE                                   Custer        NE              4         10939
Dakota_NE                                   Dakota        NE              4         21006
Dawes_NE                                     Dawes        NE              2          9182
Dawson_NE                                   Dawson        NE              7         24326
Deuel_NE                                     Deuel        NE              1          1941
Dixon_NE                                     Dixon        NE              2          6000
Dodge_NE                                     Dodge        NE              9         36691
Douglas_NE                                 Douglas        NE            156        517110
Dundy_NE                                     Dundy        NE              1          2008
Fillmore_NE                               Fillmore        NE              2          5890
Franklin_NE                               Franklin        NE              2          3225
Frontier_NE                               Frontier        NE              1          2756
Furnas_NE                                   Furnas        NE              1          4959
Gage_NE                                       Gage        NE              7         22311
Garden_NE                                   Garden        NE              1          2057
Garfield_NE                               Garfield        NE              1          2049
Gosper_NE                                   Gosper        NE              1          2044
Grant_NE                                     Grant        NE              1           614
Greeley_NE                                 Greeley        NE              1          2538
Hall_NE                                       Hall        NE             14         58607
Hamilton_NE                               Hamilton        NE              3          9124
Harlan_NE                                   Harlan        NE              1          3423
Hayes_NE                                     Hayes        NE              1           967
Hitchcock_NE                             Hitchcock        NE              1          2908
Holt_NE                                       Holt        NE              4         10435
Hooker_NE                                   Hooker        NE              1           736
Howard_NE                                   Howard        NE              2          6274
Jefferson_NE                             Jefferson        NE              3          7547
Johnson_NE                                 Johnson        NE              2          5217
Kearney_NE                                 Kearney        NE              2          6489
Keith_NE                                     Keith        NE              3          8368
Keya Paha_NE                             Keya Paha        NE              1           824
Kimball_NE                                 Kimball        NE              1          3821
Knox_NE                                       Knox        NE              3          8701
Lancaster_NE                             Lancaster        NE             74        285407
Lincoln_NE                                 Lincoln        NE              8         36288
Logan_NE                                     Logan        NE              1           763
Loup_NE                                       Loup        NE              1           632
McPherson_NE                             McPherson        NE              1           539
Madison_NE                                 Madison        NE              9         34876
Merrick_NE                                 Merrick        NE              3          7845
Morrill_NE                                 Morrill        NE              1          5042
Nance_NE                                     Nance        NE              1          3735
Nemaha_NE                                   Nemaha        NE              2          7248
Nuckolls_NE                               Nuckolls        NE              2          4500
Otoe_NE                                       Otoe        NE              5         15740
Pawnee_NE                                   Pawnee        NE              1          2773
Perkins_NE                                 Perkins        NE              1          2970
Phelps_NE                                   Phelps        NE              3          9188
Pierce_NE                                   Pierce        NE              2          7266
Platte_NE                                   Platte        NE              7         32237
Polk_NE                                       Polk        NE              2          5406
Red Willow_NE                           Red Willow        NE              3         11055
Richardson_NE                           Richardson        NE              3          8363
Rock_NE                                       Rock        NE              1          1526
Saline_NE                                   Saline        NE              4         14200
Sarpy_NE                                     Sarpy        NE             43        158840
Saunders_NE                               Saunders        NE              5         20780
Scotts Bluff_NE                       Scotts Bluff        NE             11         36970
Seward_NE                                   Seward        NE              4         16750
Sheridan_NE                               Sheridan        NE              2          5469
Sherman_NE                                 Sherman        NE              1          3152
Sioux_NE                                     Sioux        NE              1          1311
Stanton_NE                                 Stanton        NE              2          6129
Thayer_NE                                   Thayer        NE              2          5228
Thomas_NE                                   Thomas        NE              1           647
Thurston_NE                               Thurston        NE              2          6940
Valley_NE                                   Valley        NE              2          4260
Washington_NE                           Washington        NE              5         20234
Wayne_NE                                     Wayne        NE              2          9595
Webster_NE                                 Webster        NE              2          3812
Wheeler_NE                                 Wheeler        NE              1           818
York_NE                                       York        NE              4         13665
Churchill_NV                             Churchill        NV              7         24877
Clark_NV                                     Clark        NV            487       1951269
Douglas_NV                                 Douglas        NV             17         46997
Elko_NV                                       Elko        NV             14         48818
Esmeralda_NV                             Esmeralda        NV              1           783
Eureka_NV                                   Eureka        NV              1          1987
Humboldt_NV                               Humboldt        NV              4         16528
Lander_NV                                   Lander        NV              1          5775
Lincoln_NV                                 Lincoln        NV              2          5345
Lyon_NV                                       Lyon        NV             10         51980
Mineral_NV                                 Mineral        NV              2          4772
Nye_NV                                         Nye        NV             10         43946
Pershing_NV                               Pershing        NV              1          6753
Storey_NV                                   Storey        NV              1          4010
Washoe_NV                                   Washoe        NV            112        421407
White Pine_NV                           White Pine        NV              3         10030
Carson City_NV                         Carson City        NV             14         55274
Belknap_NH                                 Belknap        NH             15         60088
Carroll_NH                                 Carroll        NH             11         47818
Cheshire_NH                               Cheshire        NH             16         77117
Coos_NH                                       Coos        NH             11         33055
Grafton_NH                                 Grafton        NH             19         89118
Hillsborough_NH                       Hillsborough        NH             86        400721
Merrimack_NH                             Merrimack        NH             36        146445
Rockingham_NH                           Rockingham        NH             66        295223
Strafford_NH                             Strafford        NH             25        123143
Sullivan_NH                               Sullivan        NH             10         43742
Atlantic_NJ                               Atlantic        NJ             69        274549
Bergen_NJ                                   Bergen        NJ            179        905116
Burlington_NJ                           Burlington        NJ            114        448734
Camden_NJ                                   Camden        NJ            127        513657
Cape May_NJ                               Cape May        NJ             32         97265
Cumberland_NJ                           Cumberland        NJ             35        156898
Essex_NJ                                     Essex        NJ            210        783969
Gloucester_NJ                           Gloucester        NJ             63        288288
Hudson_NJ                                   Hudson        NJ            166        634266
Hunterdon_NJ                             Hunterdon        NJ             26        128349
Mercer_NJ                                   Mercer        NJ             77        366513
Middlesex_NJ                             Middlesex        NJ            175        809858
Monmouth_NJ                               Monmouth        NJ            144        630380
Morris_NJ                                   Morris        NJ            100        492276
Ocean_NJ                                     Ocean        NJ            126        576567
Passaic_NJ                                 Passaic        NJ            100        501226
Salem_NJ                                     Salem        NJ             24         66083
Somerset_NJ                               Somerset        NJ             68        323444
Sussex_NJ                                   Sussex        NJ             41        149265
Union_NJ                                     Union        NJ            108        536499
Warren_NJ                                   Warren        NJ             23        108692
Bernalillo_NM                           Bernalillo        NM            153        662564
Catron_NM                                   Catron        NM              1          3725
Chaves_NM                                   Chaves        NM             16         65645
Cibola_NM                                   Cibola        NM              7         27213
Colfax_NM                                   Colfax        NM              3         13750
Curry_NM                                     Curry        NM             12         48376
De Baca_NM                                 De Baca        NM              1          2022
Dona Ana_NM                               Dona Ana        NM             41        209233
Eddy_NM                                       Eddy        NM             12         53829
Grant_NM                                     Grant        NM              8         29514
Guadalupe_NM                             Guadalupe        NM              1          4687
Harding_NM                                 Harding        NM              1           695
Hidalgo_NM                                 Hidalgo        NM              2          4894
Lea_NM                                         Lea        NM             18         64727
Lincoln_NM                                 Lincoln        NM              5         20497
Los Alamos_NM                           Los Alamos        NM              4         17950
Luna_NM                                       Luna        NM              6         25095
McKinley_NM                               McKinley        NM             17         71492
Mora_NM                                       Mora        NM              1          4881
Otero_NM                                     Otero        NM             16         63797
Quay_NM                                       Quay        NM              3          9041
Rio Arriba_NM                           Rio Arriba        NM              9         40246
Roosevelt_NM                             Roosevelt        NM              5         19846
Sandoval_NM                               Sandoval        NM             28        131561
San Juan_NM                               San Juan        NM             33        130044
San Miguel_NM                           San Miguel        NM              7         29393
Santa Fe_NM                               Santa Fe        NM             50        144170
Sierra_NM                                   Sierra        NM              4         11988
Socorro_NM                                 Socorro        NM              6         17866
Taos_NM                                       Taos        NM              6         32937
Torrance_NM                               Torrance        NM              4         16383
Union_NM                                     Union        NM              1          4549
Valencia_NM                               Valencia        NM             18         76569
Albany_NY                                   Albany        NY             75        304204
Allegany_NY                               Allegany        NY             13         48946
Bronx_NY                                     Bronx        NY            339       1385108
Broome_NY                                   Broome        NY             55        200600
Cattaraugus_NY                         Cattaraugus        NY             21         80317
Cayuga_NY                                   Cayuga        NY             20         80026
Chautauqua_NY                           Chautauqua        NY             35        134905
Chemung_NY                                 Chemung        NY             22         88830
Chenango_NY                               Chenango        NY             12         50477
Clinton_NY                                 Clinton        NY             19         82128
Columbia_NY                               Columbia        NY             21         63096
Cortland_NY                               Cortland        NY             12         49336
Delaware_NY                               Delaware        NY             14         47980
Dutchess_NY                               Dutchess        NY             79        297488
Erie_NY                                       Erie        NY            237        919040
Essex_NY                                     Essex        NY             13         39370
Franklin_NY                               Franklin        NY             14         51599
Fulton_NY                                   Fulton        NY             15         55531
Genesee_NY                                 Genesee        NY             15         60079
Greene_NY                                   Greene        NY             15         49221
Hamilton_NY                               Hamilton        NY              4          4836
Herkimer_NY                               Herkimer        NY             19         64519
Jefferson_NY                             Jefferson        NY             26        116229
Kings_NY                                     Kings        NY            760       2504700
Lewis_NY                                     Lewis        NY              7         27087
Livingston_NY                           Livingston        NY             15         65393
Madison_NY                                 Madison        NY             16         73442
Monroe_NY                                   Monroe        NY            192        744344
Montgomery_NY                           Montgomery        NY             16         50219
Nassau_NY                                   Nassau        NY            280       1339532
New York_NY                               New York        NY            288       1585873
Niagara_NY                                 Niagara        NY             61        216469
Oneida_NY                                   Oneida        NY             74        234878
Onondaga_NY                               Onondaga        NY            140        467026
Ontario_NY                                 Ontario        NY             25        107931
Orange_NY                                   Orange        NY             79        372813
Orleans_NY                                 Orleans        NY             11         42883
Oswego_NY                                   Oswego        NY             29        122109
Otsego_NY                                   Otsego        NY             17         62259
Putnam_NY                                   Putnam        NY             19         99710
Queens_NY                                   Queens        NY            669       2230722
Rensselaer_NY                           Rensselaer        NY             42        159429
Richmond_NY                               Richmond        NY            109        468730
Rockland_NY                               Rockland        NY             65        311687
St. Lawrence_NY                       St. Lawrence        NY             28        111944
Saratoga_NY                               Saratoga        NY             50        219607
Schenectady_NY                         Schenectady        NY             43        154727
Schoharie_NY                             Schoharie        NY              8         32749
Schuyler_NY                               Schuyler        NY              5         18343
Seneca_NY                                   Seneca        NY             10         35251
Steuben_NY                                 Steuben        NY             30         98990
Suffolk_NY                                 Suffolk        NY            322       1493350
Sullivan_NY                               Sullivan        NY             24         77547
Tioga_NY                                     Tioga        NY             10         51125
Tompkins_NY                               Tompkins        NY             23        101564
Ulster_NY                                   Ulster        NY             47        182493
Warren_NY                                   Warren        NY             19         65707
Washington_NY                           Washington        NY             17         63216
Wayne_NY                                     Wayne        NY             23         93772
Westchester_NY                         Westchester        NY            223        949113
Wyoming_NY                                 Wyoming        NY             11         42155
Yates_NY                                     Yates        NY              5         25348
Alamance_NC                               Alamance        NC             36        151131
Alexander_NC                             Alexander        NC              7         37198
Alleghany_NC                             Alleghany        NC              3         11155
Anson_NC                                     Anson        NC              6         26948
Ashe_NC                                       Ashe        NC              6         27281
Avery_NC                                     Avery        NC              5         17797
Beaufort_NC                               Beaufort        NC             11         47759
Bertie_NC                                   Bertie        NC              4         21282
Bladen_NC                                   Bladen        NC              6         35190
Brunswick_NC                             Brunswick        NC             33        107431
Buncombe_NC                               Buncombe        NC             56        238318
Burke_NC                                     Burke        NC             18         90912
Cabarrus_NC                               Cabarrus        NC             37        178011
Caldwell_NC                               Caldwell        NC             17         83029
Camden_NC                                   Camden        NC              2          9980
Carteret_NC                               Carteret        NC             38         66469
Caswell_NC                                 Caswell        NC              6         23719
Catawba_NC                                 Catawba        NC             31        154358
Chatham_NC                                 Chatham        NC             13         63505
Cherokee_NC                               Cherokee        NC              7         27444
Chowan_NC                                   Chowan        NC              3         14793
Clay_NC                                       Clay        NC              2         10587
Cleveland_NC                             Cleveland        NC             22         98078
Columbus_NC                               Columbus        NC             13         58098
Craven_NC                                   Craven        NC             21        103505
Cumberland_NC                           Cumberland        NC             68        319431
Currituck_NC                             Currituck        NC              8         23547
Dare_NC                                       Dare        NC             11         33920
